iter	Passed	Remaining
744	8023	2746
745	8036	2736
746	8050	2726
747	8063	2716
748	8075	2706
749	8088	2696
750	8100	2685
751	8111	2675
752	8122	2664
753	8134	2653
754	8146	2643
755	8158	2633
756	8169	2622
757	8181	2611
758	8192	2601
759	8203	2590
760	8214	2579
761	8224	2568
762	8235	2557
763	8246	2547
764	8256	2536
765	8266	2525
766	8277	2514
767	8287	2503
768	8297	2492
769	8308	2481
770	8319	2470
771	8329	2459
772	8339	2448
773	8349	2437
774	8359	2427
775	8371	2416
776	8382	2405
777	8392	2394
778	8403	2384
779	8414	2373
780	8425	2362
781	8434	2351
782	8445	2340
783	8455	2329
784	8466	2318
785	8476	2307
786	8485	2296
787	8495	2285
788	8505	2274
789	8517	2264
790	8527	2253
791	8538	2242
792	8550	2232
793	8561	2221
794	8573	2210
795	8584	2199
796	8594	2189
797	8605	2178
798	8616	2167
799	8626	2156
800	8636	2145
801	8646	2134
802	8657	2123
803	8666	2112
804	8676	2101
805	8687	2091
806	8697	2080
807	8709	2069
808	8720	2058
809	8730	2047
810	8740	2036
811	8750	2025
812	8760	2014
813	8770	2004
814	8780	1993
815	8790	1982
816	8800	1971
817	8810	1960
818	8820	1949
819	8830	1938
820	8839	1927
821	8849	1916
822	8858	1905
823	8868	1894
824	8878	1883
825	8887	1872
826	8897	1861
827	8908	1850
828	8918	1839
829	8928	1828
830	8939	1818
831	8951	1807
832	8962	1796
833	8974	1786
834	8986	1775
835	8996	1764
836	9008	1754
837	9018	1743
838	9029	1732
839	9040	1721
840	9050	1711
841	9060	1700
842	9071	1689
843	9082	1678
844	9092	1667
845	9104	1657
846	9114	1646
847	9124	1635
848	9134	1624
849	9144	1613
850	9155	1602
851	9165	1592
852	9176	1581
853	9185	1570
854	9196	1559
855	9205	1548
856	9214	1537
857	9224	1526
858	9233	1515
859	9243	1504
860	9253	1493
861	9264	1483
862	9273	1472
863	9283	1461
864	9292	1450
865	9302	1439
866	9312	1428
867	9321	1417
868	9331	1406
869	9341	1395
870	9350	1384
871	9360	1373
872	9369	1363
873	9379	1352
874	9388	1341
875	9398	1330
876	9409	1319
877	9421	1309
878	9434	1298
879	9445	1287
880	9456	1277
881	9469	1266
882	9480	1256
883	9491	1245
884	9503	1234
885	9514	1224
886	9525	1213
887	9537	1202
888	9548	1192
889	9560	1181
890	9571	1170
891	9582	1160
892	9594	1149
893	9605	1138
894	9615	1128
895	9626	1117
896	9637	1106
897	9647	1095
898	9657	1085
899	9670	1074
900	9681	1063
901	9692	1053
902	9704	1042
903	9716	1031
904	9727	1021
905	9740	1010
906	9752	1000
907	9765	989
908	9778	978
909	9789	968
910	9801	957
911	9812	946
912	9824	936
913	9835	925
914	9847	914
915	9859	904
916	9870	893
917	9881	882
918	9891	871
919	9902	861
920	9913	850
921	9925	839
922	9936	828
923	9947	818
924	9958	807
925	9970	796
926	9980	785
927	9991	775
928	10002	764
929	10013	753
930	10024	742
931	10037	732
932	10048	721
933	10060	710
934	10071	700
935	10081	689
936	10092	678
937	10102	667
938	10112	656
939	10123	646
940	10134	635
941	10145	624
942	10155	613
943	10166	603
944	10176	592
945	10186	581
946	10197	570
947	10208	559
948	10219	549
949	10230	538
950	10240	527
951	10250	516
952	10261	506
953	10272	495
954	10282	484
955	10292	473
956	10303	462
957	10313	452
958	10323	441
959	10331	430
960	10341	419
961	10352	408
962	10363	398
963	10374	387
964	10384	376
965	10396	365
966	10407	355
967	10418	344
968	10429	333
969	10439	322
970	10449	312
971	10460	301
972	10471	290
973	10481	279
974	10493	269
975	10502	258
976	10512	247
977	10523	236
978	10533	225
979	10543	215
980	10554	204
981	10564	193
982	10574	182
983	10584	172
984	10595	161
985	10606	150
986	10617	139
987	10629	129
988	10638	118
989	10650	107
990	10660	96
991	10671	86
992	10683	75
993	10693	64
994	10704	53
995	10714	43
996	10724	32
997	10735	21
998	10746	10
999	10756	0
