feature,importance_mean,importance_std,val_imp_0,val_imp_1
ABONELIK_SURESI_yüzde_16,0.015755186747488437,0.006827042020307372,0.008928144727181064,0.02258222876779581
TUKETIM_M5_group_510-üzeri,0.015750758335833615,0.005851078275099453,0.009899680060734162,0.021601836610933067
TUKETIM_M8_group_275-300,0.01573909160470982,0.0010464091879988646,0.016785500792708685,0.014692682416710956
TUKETIM_M14_group_50-75,0.01572762679542622,0.0011414000266309343,0.016869026822057154,0.014586226768795285
TUKETIM_M13_group_325-350,0.01572017366134748,0.005872935422966519,0.009847238238380962,0.021593109084314
TUKETIM_M24_group_25-50,0.015709434515433107,0.008851033619326099,0.006858400896107009,0.024560468134759206
DEMAND_M6_group_4.0-4.4,0.015503995931823333,0.013389603421337493,0.028893599353160826,0.0021143925104858408
TUKETIM_M3_group_625-650,0.015471301523869108,0.00563417079528894,0.021105472319158047,0.009837130728580168
SAYAC_YAS_11.0,0.01534298604568507,0.0016103148000131684,0.016953300845698238,0.013732671245671901
TUKETIM_M19_group_525-550,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M8_group_600-625,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M1_group_225-250,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M21_group_475-500,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M4_group_510-540,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M20_group_650-675,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M2_group_550-575,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M16_group_630-660,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
DEMAND_M4_group_4.8-5.2,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M8_group_675-700,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M20_group_550-575,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M22_group_420-450,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M18_group_360-390,0.015283130351961771,0.015283130351961771,0.0,0.030566260703923542
TUKETIM_M11_group_240-270,0.015274608902971498,0.00829820926551772,0.0069763996374537784,0.023572818168489218
ABONELIK_SURESI_yüzde_4,0.015266044334219742,0.014281358562929225,0.0009846857712905166,0.029547402897148967
TUKETIM_M20_group_150-175,0.015260626905747587,0.009299841229011618,0.005960785676735969,0.024560468134759206
DEMAND_M3_group_1.1-1.65,0.015259170252688858,0.011285416117880587,0.003973754134808272,0.026544586370569445
DEMAND_M5_group_1.5-2.0,0.015259118380882508,0.01917496223876508,-0.003915843857882573,0.03443408061964759
DEMAND_M10_group_3.0-3.5,0.01525618475148044,0.006328040024299375,0.008928144727181064,0.021584224775779814
TUKETIM_M10_group_175-200,0.015254930746957496,0.01130739752332588,0.003947533223631616,0.026562328270283375
ABONELIK_SURESI_yüzde_20,0.015250378039073198,0.011276623904264926,0.003973754134808272,0.026527001943338124
TUKETIM_M5_group_270-300,0.015248186498420191,0.010297005232338563,0.004951181266081628,0.025545191730758754
DEMAND_M5_group_3.0-3.5,0.015243094503677002,0.009317373631082204,0.005925720872594797,0.024560468134759206
